,station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
0,Abbey St Bathans,55.8532963314108,-2.38744835623352,15018,24739,2021-05-31 14:00:00,0.0,0.0,0,130917010,0,234
1,Aberlour,57.48021805,-3.205975095,234150,25254,2021-05-31 12:00:00,0.0,0.0,0,130797010,0,80
2,Affric Lodge,57.26272622,-5.005979754,115301,22286,2021-04-26 10:00:00,0.6,0.6,1,130230010,1,272
3,Alford,57.24230294,-2.717123004,234170,25333,2021-05-31 13:00:00,0.0,0.0,0,130167010,0,162
4,Allanfearn,57.49914747,-4.151564133,115302,22293,2021-05-31 12:00:00,0.2,0.2,1,130770010,0,254
5,Allnabad,58.3471767644614,-4.64462101395753,234151,25261,2021-05-31 13:00:00,0.0,0.0,0,130314010,0,198
6,Allt Dearg House,57.28490502,-6.187008123,115304,22297,2021-05-31 15:00:00,0.0,0.0,0,130233010,0,1
7,Amlaird,55.66964373,-4.413260863,115500,22641,2021-05-31 12:00:00,0.0,0.0,0,130398010,0,31
8,Amod Farm,55.35009103,-5.717857841,115501,22646,2021-05-31 13:00:00,0.0,0.0,0,130401010,0,81
9,Annfield,56.06640057,-3.371633207,15198,25112,2021-05-31 14:00:00,0.2,0.2,1,130665010,0,256
10,Ashgrove,55.66308049,-4.757486092,115506,22665,2021-05-31 12:00:00,0.0,0.0,0,130404010,0,141
11,Auchdergannach,57.22063972,-3.651932222,491811,27410,2021-05-31 12:00:00,0.4,0.4,1,130875010,0,110
12,Auchentroig,56.11221933,-4.342412217,15163,25030,2021-05-31 08:00:00,0.0,0.0,0,130635010,0,190
13,Auchinner,56.31678388,-4.112254665,14964,24525,2021-05-31 14:00:00,0.0,0.0,0,130986010,0,214
14,Auchnafree,56.47302976,-3.904678161,14952,24458,2021-05-17 13:00:00,0.6,0.6,1,130974010,1,173
15,Avochie,57.50564634,-2.782377895,234161,25306,2021-05-31 14:00:00,0.0,0.0,0,130800010,0,149
