station_name,station_no,station_latitude,station_longitude
Abbey St Bathans,15018,55.8532963314108,-2.38744835623352
Aberlour,234150,57.48021805,-3.205975095
Affric Lodge,115301,57.26272622,-5.005979754
Alford,234170,57.24230294,-2.717123004
Allanfearn,115302,57.49914747,-4.151564133
Allnabad,234151,58.3471767644614,-4.64462101395753
Allt Dearg House,115304,57.28490502,-6.187008123
Amlaird,115500,55.66964373,-4.413260863
Amod Farm,115501,55.35009103,-5.717857841
Annfield,15198,56.06640057,-3.371633207
Ashgrove,115506,55.66308049,-4.757486092
Auchdergannach,491811,57.22063972,-3.651932222
Auchentroig,15163,56.11221933,-4.342412217
Auchinner,14964,56.31678388,-4.112254665
Auchnafree,14952,56.47302976,-3.904678161
Avochie,234161,57.50564634,-2.782377895
Avonbank,322556,55.66347112,-4.051617294
Ayton Castle,15132,55.8472764491842,-2.11461102258224
Badbea,518147,57.8624394131174,-5.31874666420385
Baddinsgill Reservoir,15103,55.7838820984555,-3.39458495099376
Baintown Rain-gauge,501947,56.22101614,-3.042679056
Balfron STW,517412,56.0652344105772,-4.33334331797487
Balgray RG,490985,55.73428872,-4.5878755
Balmedie STW,115202,57.25007263,-2.0473803
Baluniefield,374852,56.48264025,-2.905576117
Bannockburn,14897,56.09528478,-3.911816854
Beltmoss,327235,55.98678855,-4.056528766
Biggar Burn,368536,55.6503509335496,-3.54376527843482
Birkie Hue,320371,58.16554218,-6.740713858
Blackdyke Farm,115516,55.52935031,-4.326283061
Blackhills No 2,115203,57.61017023,-3.222796593
Boleside,533744,55.5916432342931,-2.79887877404223
Boreland,115518,55.20254702,-3.320073284
Bow Burn - WQMS,101227,55.44068058,-4.498633861
Braco (Dunduff),15161,56.28192154,-3.904225732
Braeroy Lodge,115315,56.98511362,-4.738585589
Braidlie,133144,55.26142915,-2.824951121
Brigton,115521,55.03779638,-4.566314357
Broadside,335609,56.02806207,-3.978158502
Brockhoperig,14987,55.4061285999832,-3.21151338374637
Burnfoot (Hawknest),115523,55.66513433,-3.895712474
Bush,335612,55.86190844,-3.206554074
Cabrach,234176,57.34816,-3.034565786
Cairngorm Raingauge and Snow Scale,523676,57.1277019960426,-3.66295585786453
Caldercruix STW,115526,55.88933558,-3.904553259
Cambo Sands,338380,56.3008799,-2.650067453
Camphill WTW Raingauge,490984,55.75032761,-4.74461262
Canonbie Raingauge,306455,55.07786221,-2.942088127
Capenoch Raingauge,576753,55.2266681707693,-3.8169342186531
Carmyllie-Hume Farm,577951,56.5746496931231,-2.74133187731856
Castle Kennedy,116042,54.90675279,-4.944931414
Charr,234183,56.94084906,-2.619402267
Chesters,15004,55.3786296146422,-2.58960768063178
Cheyne,335574,56.97482596,-2.266470239
Clachan-Seil,115534,56.30375755,-5.601429727
Cleuchhead,499810,56.94774412,-2.388756894
Coignafearn,115318,57.23285188,-4.139289943
Coille Mhorgil,115319,57.0643694,-5.134923813
Colliston,14921,56.61000991,-2.637841019
Comer Farm,552791,56.2015072327063,-4.60131037579935
Comiston Rain Gauge,525510,55.9101940076868,-3.21598826974242
Corrimony,115322,57.33501743,-4.699729622
Corsock,336434,55.05876816,-3.945715778
Craigdarroch,115541,55.196659,-3.981943267
Craigenlee Croft Raingauge,513003,54.8629459170786,-5.07527966446311
Creed Bridge,234190,58.20454028,-6.424227928
Crichton,15224,55.84509063,-2.988655721
Cullen,234192,57.68712295,-2.83323079
Culloden Battlefield,498341,57.47676464,-4.09126842
Culzean Castle,115544,55.35068095,-4.791520726
Dalbeattie STW,115546,54.92152642,-3.821987578
Dalblair,538510,55.44485443,-4.1519297
Daldowie STW,327232,55.83262494,-4.122714806
Dallachy No 2,205724,57.66404417,-3.071018416
Dalmarnock STW,327234,55.8374507,-4.216965486
Dalnamein,14960,56.79925858,-4.053453634
Dalwhinnie,302120,56.94069555,-4.238639574
Deanston RG,341338,56.19223931,-4.077181451
Delnashaugh,234198,57.39970792,-3.357845061
Derry Lodge,454765,57.02065155,-3.58738853
Deskry Shiel,335582,57.18037959,-2.983867766
Dingwall,115329,57.5999202496956,-4.44699709665912
Dippen,133077,55.58274848,-5.496523588
Dipple,115217,57.61125291,-3.115476523
Dosmucheran,234202,57.59587318,-5.005770119
Drum,464646,56.18484641,-3.532323684
Drumjohn,115557,55.24992466,-4.32205779
Drummore of Cantray,377134,57.48325079,-4.006176025
Dunbar,15216,56.00371307,-2.52752897
Dundreggan Rain Gauge,530175,57.1916154062172,-4.76763419920281
Dunglass,15208,55.94267446,-2.382881362
Dunnottar Radio Station,509196,56.9465249628923,-2.21202446021694
Dunnswood STW (Cumbernauld),15180,55.97221885,-3.954505606
Dunstaffnage,365257,56.45050242,-5.439870612
Durkadale,234207,59.10852817,-3.232172832
East Kilbride,115560,55.75477386,-4.171759227
Edinburgh RBG (Royal Botanic Garden),15201,55.9666233709368,-3.21231073711968
Einig Wood,492363,57.94421601,-4.764511928
Eliock,115562,55.34583036,-3.899113859
Eskdalemuir Observatory,15100,55.3115132595484,-3.20679877544895
Esslemont House,115221,57.36510966,-2.112363417
Ettrick Bay,115563,55.85650223,-5.145834193
Fife Airport,15151,56.1816502,-3.222449068
Flichity,115339,57.33128618,-4.221750189
Forehill,336372,57.50635026,-1.843281987
Forsinain,115340,58.41100711,-3.873563607
Forter,14948,56.76674681,-3.332205729
Fourmerkland,115565,55.1650788,-3.412506453
Frenich Farm,552790,56.2269416185393,-4.56047224967827
Gairnshiel,115223,57.09199509,-3.165582141
Gargunnock,14892,56.13266077,-4.070571402
Garls Craig,301168,55.36599829,-3.616030256
Garrogie Lodge,464495,57.17006125,-4.442843871
Gatelawbridge,115568,55.25076797,-3.730683565
Gella Bridge,14916,56.77535832,-3.027929218
Gifford Rain Gauge,474984,55.89043578,-2.768969478
Gilston,15114,55.80025456,-2.883463821
Gladhouse Reservoir,15204,55.7784118,-3.117398754
Glen Ample,335745,56.354577358483,-4.26999369364804
Glen Nevis,115343,56.79923208,-5.067543348
Glen Strae,133088,56.42522107,-5.000795867
Glenbreck,368490,55.4820219628409,-3.47775472797171
Glenmavis,327238,55.89359141,-4.013210328
Glenmore Lodge No 2,115225,57.16421784,-3.677609728
Glenmuick No2,367371,56.95161175,-3.141253355
Glenochil,14891,56.14364525,-3.839304837
Glenquey,464636,56.20739317,-3.642080305
Gogarbank,15196,55.92834002,-3.342742573
Gordon Arms,14984,55.5113722712304,-3.09640690612754
Greenock,327292,55.94370132,-4.723991358
Haddington STW,15226,55.9605092339233,-2.75022457021791
Halkirk,234231,58.5154974,-3.493004244
Harelaw,335614,55.91651494,-3.086776845
Harperrig,15200,55.83652095,-3.435270947
